ID,Year,Sex,TL,W
BLJ17_1002,2017,F,125,8.2
BLJ17_1003,2017,F,134,8.1
BLJ17_1005,2017,F,115,6.6
BLJ17_1006,2017,F,124,7.5
BLJ17_1007,2017,M,169,21.5
BLJ17_1008,2017,M,165,20.5
BLJ17_1009,2017,F,182,23
BLJ17_1010,2017,M,116,5.8
BLJ17_1012,2017,F,134,10
BLJ17_1013,2017,F,164,18
BLJ17_1014,2017,F,133,7.2
2018_2002,2018,F,185,28.2
2018_2005,2018,F,170,19.1
2018_2006,2018,F,186,26.1
2018_2008,2018,F,158,15.9
2018_3001,2018,F,155,19
2018_3002,2018,F,180,20
2018_3003,2018,F,127,8
2018_3004,2018,F,177,22
2018_3006,2018,F,123,6
2018_3009,2018,F,157,14
2018_3010,2018,F,161,16
2018_3011,2018,F,163,16
2018_3015,2018,F,119,7
2018_3019,2018,F,108,5.5
2018_3020,2018,F,178,18.8
2018_3021,2018,F,137,9.9
2018_3022,2018,F,148,11
2018_3024,2018,F,165,15.7
2018_3025,2018,F,155,14.3
2018_4002,2018,F,145,12.1
2018_4003,2018,F,170,
2018_4006,2018,F,140,11
2018_2001,2018,M,188,30.6
2018_2003,2018,M,181,24.4
2018_2004,2018,M,183,27.1
2018_3005,2018,M,115,5
2018_3007,2018,M,159,15
2018_3008,2018,M,166,16
2018_3012,2018,M,162,17
2018_3013,2018,M,175,20
2018_3014,2018,M,181,22
2018_3016,2018,M,120,7
2018_3017,2018,M,169,19
2018_3018,2018,M,195,11
2018_3023,2018,M,187,24
2018_4001,2018,M,145,12.3
2018_4005,2018,M,142,10.5
2018_4007,2018,M,152,12.5
